category_id,name,snapshot_date
11035954,"Máy tính & Laptop",2021-08-16
11036793,"Ô tô - xe máy - xe đạp",2021-08-16
11036101,"Máy ảnh - Máy quay phim",2021-08-16
11035954,"Máy tính & Laptop",2021-08-17
11036793,"Ô tô - xe máy - xe đạp",2021-08-17
11036101,"Máy ảnh - Máy quay phim",2021-08-17
11035954,"Máy tính & Laptop",2021-08-18
11036793,"Ô tô - xe máy - xe đạp",2021-08-18
11036101,"Máy ảnh - Máy quay phim",2021-08-18
11035954,"Máy tính & Laptop",2021-08-19
11036793,"Ô tô - xe máy - xe đạp",2021-08-19
11036101,"Máy ảnh - Máy quay phim",2021-08-19
11035954,"Máy tính & Laptop",2021-08-20
11036793,"Ô tô - xe máy - xe đạp",2021-08-20
11036101,"Máy ảnh - Máy quay phim",2021-08-20
11035954,"Máy tính & Laptop",2021-08-21
11036793,"Ô tô - xe máy - xe đạp",2021-08-21
11036101,"Máy ảnh - Máy quay phim",2021-08-21
11035954,"Máy tính & Laptop",2021-08-22
11036793,"Ô tô - xe máy - xe đạp",2021-08-22
11036101,"Máy ảnh - Máy quay phim",2021-08-22
11035954,"Máy tính & Laptop",2021-08-23
11036793,"Ô tô - xe máy - xe đạp",2021-08-23
11036101,"Máy ảnh - Máy quay phim",2021-08-23
11035954,"Máy tính & Laptop",2021-08-24
11036793,"Ô tô - xe máy - xe đạp",2021-08-24
11036101,"Máy ảnh - Máy quay phim",2021-08-24
11035954,"Máy tính & Laptop",2021-08-25
11036793,"Ô tô - xe máy - xe đạp",2021-08-25
11036101,"Máy ảnh - Máy quay phim",2021-08-25
11035954,"Máy tính & Laptop",2021-08-26
11036793,"Ô tô - xe máy - xe đạp",2021-08-26
11036101,"Máy ảnh - Máy quay phim",2021-08-26
11035954,"Máy tính & Laptop",2021-08-27
11036793,"Ô tô - xe máy - xe đạp",2021-08-27
11036101,"Máy ảnh - Máy quay phim",2021-08-27
11035954,"Máy tính & Laptop",2021-08-28
11036793,"Ô tô - xe máy - xe đạp",2021-08-28
11036101,"Máy ảnh - Máy quay phim",2021-08-28
11035954,"Máy tính & Laptop",2021-08-29
11036793,"Ô tô - xe máy - xe đạp",2021-08-29
11036101,"Máy ảnh - Máy quay phim",2021-08-29
11035954,"Máy tính & Laptop",2021-08-30
11036793,"Ô tô - xe máy - xe đạp",2021-08-30
11036101,"Máy ảnh - Máy quay phim",2021-08-30
11035954,"Máy tính & Laptop",2021-08-31
11036793,"Ô tô - xe máy - xe đạp",2021-08-31
11036101,"Máy ảnh - Máy quay phim",2021-08-31
11035954,"Máy tính & Laptop",2021-09-01
11036793,"Ô tô - xe máy - xe đạp",2021-09-01
11036101,"Máy ảnh - Máy quay phim",2021-09-01
11035954,"Máy tính & Laptop",2021-09-02
11036793,"Ô tô - xe máy - xe đạp",2021-09-02
11036101,"Máy ảnh - Máy quay phim",2021-09-02
11035954,"Máy tính & Laptop",2021-09-03
11036793,"Ô tô - xe máy - xe đạp",2021-09-03
11036101,"Máy ảnh - Máy quay phim",2021-09-03
11035954,"Máy tính & Laptop",2021-09-04
11036793,"Ô tô - xe máy - xe đạp",2021-09-04
11036101,"Máy ảnh - Máy quay phim",2021-09-04
11035954,"Máy tính & Laptop",2021-09-05
11036793,"Ô tô - xe máy - xe đạp",2021-09-05
11036101,"Máy ảnh - Máy quay phim",2021-09-05
11035954,"Máy tính & Laptop",2021-09-06
11036793,"Ô tô - xe máy - xe đạp",2021-09-06
11036101,"Máy ảnh - Máy quay phim",2021-09-06
11035954,"Máy tính & Laptop",2021-09-07
11036793,"Ô tô - xe máy - xe đạp",2021-09-07
11036101,"Máy ảnh - Máy quay phim",2021-09-07
11035954,"Máy tính & Laptop",2021-09-08
11036793,"Ô tô - xe máy - xe đạp",2021-09-08
11036101,"Máy ảnh - Máy quay phim",2021-09-08
11035954,"Máy tính & Laptop",2021-09-09
11036793,"Ô tô - xe máy - xe đạp",2021-09-09
11036101,"Máy ảnh - Máy quay phim",2021-09-09
11035954,"Máy tính & Laptop",2021-09-10
11036793,"Ô tô - xe máy - xe đạp",2021-09-10
11036101,"Máy ảnh - Máy quay phim",2021-09-10
11036793,"Ô tô - xe máy - xe đạp",2021-09-11
11036101,"Máy ảnh - Máy quay phim",2021-09-11
11035954,"Máy tính & Laptop",2021-09-11
11035954,"Máy tính & Laptop",2021-09-12
11036793,"Ô tô - xe máy - xe đạp",2021-09-12
11036101,"Máy ảnh - Máy quay phim",2021-09-12
11035954,"Máy tính & Laptop",2021-09-13
11036793,"Ô tô - xe máy - xe đạp",2021-09-13
11036101,"Máy ảnh - Máy quay phim",2021-09-13
11035954,"Máy tính & Laptop",2021-09-14
11036793,"Ô tô - xe máy - xe đạp",2021-09-14
11036101,"Máy ảnh - Máy quay phim",2021-09-14
11035954,"Máy tính & Laptop",2021-09-15
11036793,"Ô tô - xe máy - xe đạp",2021-09-15
11036101,"Máy ảnh - Máy quay phim",2021-09-15
11035954,"Máy tính & Laptop",2021-09-16
11036793,"Ô tô - xe máy - xe đạp",2021-09-16
11036101,"Máy ảnh - Máy quay phim",2021-09-16
11035954,"Máy tính & Laptop",2021-09-17
11036793,"Ô tô - xe máy - xe đạp",2021-09-17
11036101,"Máy ảnh - Máy quay phim",2021-09-17
